,Set,Parameter,Value,Accuracy,Precision (No),Precision (Yes),Recall (No),Recall (Yes),f1-score (No),f1-score (Yes)
0,Training,max_depth,1,0.8185547431829677,0.8211997081323765,0.8166812179594436,0.7583874430931756,0.8669717029158208,0.7885393477781836,0.8410728114674896
2,Training,max_depth,2,0.8235558927668183,0.7812405278162771,0.8658681932380766,0.8426545924461575,0.8085867362157831,0.8095639007190671,0.8353385086063312
4,Training,max_depth,3,0.8623619349795375,0.8660170962696592,0.8604559124468277,0.8187103804386002,0.8972674518124997,0.8413646308256556,0.8782883373605352
6,Training,max_depth,4,0.882523106635398,0.8789213270402808,0.8869413558663741,0.855834587929232,0.9038814226954235,0.866527358694315,0.894948784382685
8,Training,max_depth,5,0.903439554881133,0.910041898131541,0.8988288414570273,0.8697102765841368,0.9303427269923052,0.8893180423668795,0.9142578411136002
10,Training,max_depth,6,0.9246620223479101,0.9254616781180985,0.9248128835131432,0.9046564742565033,0.9409215350882081,0.9145686403819482,0.9325642838715495
12,Training,max_depth,7,0.9484609371407551,0.9506249225467954,0.9469938598225675,0.9330772890237922,0.9608906945938216,0.9416587614301924,0.9538230238036121
14,Training,max_depth,8,0.9630137490228536,0.9718255062182388,0.9564367315738231,0.9446371095021906,0.9778305773541824,0.9579637717823056,0.9669713544861086
16,Training,max_depth,9,0.9749887340782637,0.9877185520521538,0.9653482327303571,0.9558192563411996,0.9904275373944355,0.9714914329483821,0.9777179194285178
18,Training,max_depth,10,0.9839331861866005,0.9887666387973544,0.9804126574635845,0.9751714019053639,0.9909740077058545,0.9818181498433345,0.9856003016331967
1,Validating,max_depth,1,0.8186227323213625,0.8215670114199526,0.8144915515201545,0.7566524417115351,0.8648821165843055,0.7873622825359325,0.8387199112627771
3,Validating,max_depth,2,0.8171232876712328,0.7755563139538799,0.8586601930244123,0.8341588829195565,0.8010896416835613,0.8002380855876631,0.8266557196217261
5,Validating,max_depth,3,0.8267678637541651,0.8285000440172853,0.8241792799888344,0.7737853208757909,0.8754102135636275,0.7958361259075786,0.8470087872625139
7,Validating,max_depth,4,0.8172528693076637,0.8107150979909601,0.8340618531301761,0.785651790193274,0.8468401290065917,0.7908724757314338,0.8363403356068597
9,Validating,max_depth,5,0.8117549055905222,0.7976559205007481,0.8170671216868446,0.7839663972154904,0.8410720267397803,0.7862233686310512,0.8253776169618506
11,Validating,max_depth,6,0.8267123287671232,0.8059325150273426,0.8358785316691171,0.8001584697626093,0.8513959595501216,0.7999398754256685,0.8417614006033153
13,Validating,max_depth,7,0.7953165494261384,0.7687979829561981,0.8146926881795302,0.7756263189355513,0.8120402081118325,0.7698278024126951,0.8114182485307481
15,Validating,max_depth,8,0.807571269900037,0.8007993756783659,0.8191075323100495,0.7674687211811795,0.8409569305832632,0.7789046577212785,0.8270822840422616
17,Validating,max_depth,9,0.8076082932247315,0.7975440336953494,0.818114604932555,0.7671477752902417,0.8394779311839503,0.7795329331567667,0.8270517500254366
19,Validating,max_depth,10,0.8076082932247315,0.7796127790375269,0.83275535059643,0.8035345943037895,0.8058145672738641,0.7885124671782276,0.816960491315642
