,Set,Parameter,Value,Accuracy,Precision (No),Precision (Yes),Recall (No),Recall (Yes),f1-score (No),f1-score (Yes)
0,Training,k,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,Training,k,2,0.9017726582976964,0.8196861144995783,1.0,1.0,0.8225265677857821,0.9008912542893108,0.9025716643167451
4,Training,k,3,0.9143555432933278,0.9094215674642466,0.9182498454056894,0.8973701582430031,0.928020139456002,0.9033247133080714,0.9230892987777068
6,Training,k,4,0.8931344553271716,0.8472715675218836,0.9369352228126365,0.9275938742864603,0.8653997872747196,0.8855916566705904,0.899729811709704
8,Training,k,5,0.8908601186370533,0.8868800925974936,0.8939571309589445,0.8656721455733714,0.9110184909340102,0.8761237686247354,0.9023937148568411
10,Training,k,6,0.8876757713707638,0.8627530901809459,0.9090144886305918,0.8899265590280093,0.8858518206425992,0.876088845178845,0.8972534182615013
12,Training,k,7,0.890708373568768,0.897939219520375,0.8854189137514712,0.8517952472799675,0.9219680210495123,0.8742406491894672,0.903315824422964
14,Training,k,8,0.8869193451970387,0.8766261029091226,0.8951536084688414,0.8687755890834514,0.9014555276193867,0.8726473084703044,0.8982700033797967
16,Training,k,9,0.8831284774911483,0.8891379623471835,0.8789068677165336,0.8433278942750198,0.9151289275046194,0.8655414334626034,0.8966031477920682
18,Training,k,10,0.883885823331954,0.8737255821090587,0.8919686267932487,0.8647907761474359,0.899282376763321,0.8692113037724398,0.8955949929119471
20,Training,k,11,0.8788832942474822,0.8840451358016346,0.8751871712014179,0.8384603200079754,0.9112844904501095,0.8605828455325758,0.8928373141912603
22,Training,k,12,0.8772166275808159,0.8644281090752488,0.8874731009999317,0.8596287908134521,0.8912828001442671,0.8619948828596652,0.8893568799065117
1,Validating,k,1,0.8129951869677896,0.7786237808995293,0.8445846191140738,0.8176191540305261,0.809408056337432,0.7960329073048924,0.8252723120295737
3,Validating,k,2,0.8117363939281746,0.7350818553610561,0.9012252127871822,0.9008451692730131,0.7406297278621736,0.8075348305541608,0.8112712122252008
5,Validating,k,3,0.8444465012958163,0.8256954879159961,0.8547135291464094,0.8217490892648085,0.8603106362500877,0.8223667009979989,0.8565454364634032
7,Validating,k,4,0.8391336542021474,0.8000987649109558,0.8792055151265679,0.8605409364416102,0.8253916062111589,0.8259235058891987,0.8491242477612836
9,Validating,k,5,0.8621991854868568,0.8667098224533316,0.8571041944806567,0.8145732849506662,0.8967203536851402,0.8375422245414686,0.8750387515976434
11,Validating,k,6,0.853924472417623,0.8267837117906541,0.8805855759082786,0.8561545577310083,0.8555542846038297,0.8376417698779941,0.8655379839718954
13,Validating,k,7,0.863550536838208,0.8653471460980123,0.861706793271266,0.8247038339170519,0.8961421358234463,0.8418908880972099,0.8767701636536845
15,Validating,k,8,0.8622547204738986,0.8489984285930806,0.8711961722488037,0.843531291598152,0.8791786096575592,0.8450441948630572,0.8739891946188756
17,Validating,k,9,0.8568678267308405,0.8628002945582347,0.852270156518615,0.8042823326602818,0.8947516575394795,0.8316403673388526,0.8724615175069813
19,Validating,k,10,0.863476490188819,0.8490228846616297,0.8795422599687479,0.8500874734057847,0.8760262341424087,0.846992823903857,0.8761304459802826
21,Validating,k,11,0.8553498704183635,0.8466674864423656,0.8546143090017784,0.8154838772718389,0.888287852576015,0.8288675258567745,0.8696873747143636
23,Validating,k,12,0.8580895964457609,0.8466313373703528,0.8678220936955666,0.8281446632635656,0.8772458914234376,0.8356155653882904,0.8711740134847508
