,Classifier,Accuracy,Precision,Specificity,Sensitivity,AUC
0,Decision Tree,0.8555411349051841,0.8633590462833101,0.7297297297297297,0.9454545454545454,0.8375921375921376
20,Decision Tree,0.8370143727663075,0.8372700174735328,0.8333333333333334,0.8409090909090909,0.8371212121212122
16,Decision Tree,0.8258393347227667,0.826376811594203,0.7954545454545454,0.8541666666666666,0.824810606060606
28,Decision Tree,0.8145643222452856,0.8208492188084024,0.8378378378378378,0.7962962962962963,0.8170670670670671
12,Decision Tree,0.8261691849110906,0.82703213610586,0.8125,0.8409090909090909,0.8267045454545454
32,Decision Tree,0.8356462814294139,0.8379440327114746,0.85,0.8235294117647058,0.8367647058823529
8,Decision Tree,0.8268561051169747,0.8284176625137725,0.8055555555555556,0.8392857142857143,0.822420634920635
24,Decision Tree,0.8457939751233782,0.8472282896098223,0.7428571428571429,0.9122807017543859,0.8275689223057644
4,Decision Tree,0.8575860704821463,0.8583980068789134,0.7837837837837838,0.9090909090909091,0.8464373464373465
36,Decision Tree,0.8572119955060065,0.8574882564244266,0.8541666666666666,0.8604651162790697,0.8573158914728682
9,Random Forest,0.8478260869565217,0.8478260869565217,0.8055555555555556,0.875,0.8402777777777778
5,Random Forest,0.8372955723972876,0.8378358335452155,0.8108108108108109,0.8545454545454545,0.8326781326781325
21,Random Forest,0.8152829558018153,0.8155411655874191,0.8125,0.8181818181818182,0.8153409090909092
13,Random Forest,0.8690711462450593,0.8819397993311037,0.7916666666666666,0.9545454545454546,0.8731060606060607
29,Random Forest,0.8461538461538461,0.8461538461538461,0.8108108108108109,0.8703703703703703,0.8405905905905904
37,Random Forest,0.8572119955060065,0.8574882564244266,0.8541666666666666,0.8604651162790697,0.8573158914728682
17,Random Forest,0.8579371294908433,0.8623503922929683,0.7954545454545454,0.9166666666666666,0.856060606060606
25,Random Forest,0.8364839319470699,0.8362179204515389,0.7714285714285715,0.8771929824561403,0.824310776942356
1,Random Forest,0.9019445294013488,0.9019366804692892,0.8648648648648649,0.9272727272727272,0.8960687960687962
33,Random Forest,0.8887073887073886,0.8954853196339265,0.8,0.9607843137254902,0.8803921568627452
35,Support Vector Machine,0.8892914434125954,0.892041292041292,0.825,0.9411764705882353,0.8830882352941176
27,Support Vector Machine,0.8687714966046388,0.8688506286148143,0.8,0.9122807017543859,0.856140350877193
31,Support Vector Machine,0.8127642120352941,0.8125430125430125,0.7567567567567568,0.8518518518518519,0.8043043043043044
19,Support Vector Machine,0.8579371294908433,0.8623503922929683,0.7954545454545454,0.9166666666666666,0.856060606060606
15,Support Vector Machine,0.8579421629391489,0.8739824572474284,0.7708333333333334,0.9545454545454546,0.862689393939394
11,Support Vector Machine,0.8590269841014332,0.8595662856532422,0.8333333333333334,0.875,0.8541666666666666
7,Support Vector Machine,0.8794959057925853,0.8805339977070289,0.8108108108108109,0.9272727272727272,0.869041769041769
3,Support Vector Machine,0.8999900164728198,0.909455352968677,0.7837837837837838,0.9818181818181818,0.8828009828009828
23,Support Vector Machine,0.8370143180802367,0.8388529139685477,0.8125,0.8636363636363636,0.8380681818181819
39,Support Vector Machine,0.8570388980334402,0.8571428571428571,0.875,0.8372093023255814,0.8561046511627908
22,k Nearest Neighbors,0.8472496706192361,0.8596989966555185,0.7708333333333334,0.9318181818181818,0.8513257575757576
38,k Nearest Neighbors,0.8791208791208791,0.8844450123519891,0.8333333333333334,0.9302325581395349,0.8817829457364341
26,k Nearest Neighbors,0.8582860743541273,0.858089337684099,0.8,0.8947368421052632,0.8473684210526318
18,k Nearest Neighbors,0.8365496396186934,0.8379389932006738,0.7954545454545454,0.875,0.8352272727272727
14,k Nearest Neighbors,0.8472496706192361,0.8596989966555185,0.7708333333333334,0.9318181818181818,0.8513257575757576
30,k Nearest Neighbors,0.8347919517958479,0.8346264846264846,0.7837837837837838,0.8703703703703703,0.827077077077077
10,k Nearest Neighbors,0.8268561051169747,0.8284176625137725,0.8055555555555556,0.8392857142857143,0.822420634920635
34,k Nearest Neighbors,0.8887073887073886,0.8954853196339265,0.8,0.9607843137254902,0.8803921568627452
6,k Nearest Neighbors,0.858364320246393,0.8582427536231885,0.8108108108108109,0.8909090909090909,0.8508599508599508
2,k Nearest Neighbors,0.9114560366875386,0.9184236543811647,0.8108108108108109,0.9818181818181818,0.8963144963144962
