,Set,Parameter,Value,Accuracy,Precision (No),Precision (Yes),Recall (No),Recall (Yes),f1-score (No),f1-score (Yes)
0,Training,n_estimator,1,0.9237540810226698,0.9294533017543836,0.919898759003491,0.8971093655551255,0.9451417184627949,0.9128085441474525,0.9322410830271635
2,Training,n_estimator,25,0.9972713477721064,0.9972945575193959,0.9972734768824522,0.9965970615527127,0.997807367959056,0.9969406665209908,0.9975370476546438
4,Training,n_estimator,50,0.9996969696969696,1.0,0.9994609125254288,0.9993103366270704,1.0,0.9996545727351099,0.9997300925006876
6,Training,n_estimator,75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,Training,n_estimator,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,Training,n_estimator,125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Training,n_estimator,150,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Training,n_estimator,175,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,Training,n_estimator,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,Training,n_estimator,225,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Training,n_estimator,250,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,Training,n_estimator,275,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,Training,n_estimator,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Validating,n_estimator,1,0.8075157349129951,0.7909301594646423,0.8274116201810882,0.7756570539784323,0.8329539174441705,0.7795046631405096,0.8273566070559243
3,Validating,n_estimator,25,0.8551092188078488,0.8565881358397226,0.8510568756976497,0.80139062855398,0.8974945949364553,0.8273717104903102,0.8731109599213047
5,Validating,n_estimator,50,0.8554979637171417,0.8570528248170074,0.8559664628577076,0.8109509163360664,0.8885677108944865,0.8318038989391644,0.8711545838405204
7,Validating,n_estimator,75,0.8635320251758609,0.876007110473879,0.8564745238356005,0.8120940900577998,0.9078314938054997,0.8396232343949217,0.8797227009191241
9,Validating,n_estimator,100,0.8662347278785635,0.884952478077478,0.8551847081331289,0.8039368187755285,0.9129983336393167,0.8413778417090049,0.8826253264397874
11,Validating,n_estimator,125,0.8635690485005554,0.8658790200235776,0.8638182477271252,0.8177945748509791,0.9018002010324173,0.8371681496154546,0.8803113318114292
13,Validating,n_estimator,150,0.8622547204738986,0.8705650126124265,0.8585635050802921,0.8126180187499544,0.9013369742675353,0.8392875324148654,0.8786399315552202
15,Validating,n_estimator,175,0.8677897075157348,0.8773259019144561,0.8637725240424249,0.8160092384950071,0.9090496994046567,0.8429877918822573,0.8845798013847789
17,Validating,n_estimator,200,0.8554239170677527,0.8513463931490497,0.8555507093052478,0.8140906873158394,0.8888456072279602,0.8307067360334542,0.8709860401260453
19,Validating,n_estimator,225,0.8757867456497594,0.8915706926246415,0.8672868799906744,0.8258233628129272,0.920542693989649,0.8539678591296347,0.8909146005484099
21,Validating,n_estimator,250,0.8609403924472417,0.8624592308187644,0.8603363128898869,0.8205116419834162,0.8939904047638324,0.8396525175991449,0.8761418126188335
23,Validating,n_estimator,275,0.8622547204738986,0.8769836665944679,0.8543664885262094,0.8040541949149962,0.9099553032479862,0.8362401729578932,0.8797227555968785
25,Validating,n_estimator,300,0.8621806738245095,0.8696436708246791,0.8551292636112034,0.8048627550047429,0.9080531180187931,0.834466566081811,0.880035050201019
